time,To
2018-01-01,21.073333333333334
2018-01-02,19.81326388888889
2018-01-03,19.910069444444446
2018-01-04,19.705416666666665
2018-01-05,20.782638888888886
2018-01-06,21.12611111111111
2018-01-07,19.835208333333334
2018-01-08,20.45659722222222
2018-01-09,19.702430555555555
2018-01-10,20.219583333333333
2018-01-11,20.644166666666663
2018-01-12,20.086111111111112
2018-01-13,18.85
2018-01-14,15.10048611111111
2018-01-15,15.594166666666666
2018-01-16,17.96673611111111
2018-01-17,17.278402777777778
2018-01-18,17.041944444444443
2018-01-19,17.535208333333333
2018-01-20,20.326180555555553
2018-01-21,21.29284722222222
2018-01-22,22.625
2018-01-23,22.209999999999997
2018-01-24,22.179166666666667
2018-01-25,20.472847222222224
2018-01-26,20.502430555555556
2018-01-27,21.247430555555557
2018-01-28,21.378194444444446
2018-01-29,19.932291666666668
2018-01-30,16.338958333333334
2018-01-31,16.312013888888888
2018-02-01,20.170347222222222
2018-02-02,22.79888888888889
2018-02-03,21.32638888888889
2018-02-04,23.107777777777777
2018-02-05,22.386319444444446
2018-02-06,22.386319444444446
2018-02-07,22.612986111111113
2018-02-08,22.318819444444443
2018-02-09,22.01298611111111
2018-02-10,21.821458333333332
2018-02-11,22.485277777777778
2018-02-12,23.781180555555554
2018-02-13,22.898333333333333
2018-02-14,22.593888888888888
2018-02-15,22.285069444444446
2018-02-16,22.689444444444447
2018-02-17,22.537569444444443
2018-02-18,22.667986111111112
2018-02-19,23.02305555555556
2018-02-20,23.149930555555557
2018-02-21,23.263958333333335
2018-02-22,24.11451388888889
2018-02-23,23.91097222222222
2018-02-24,24.410555555555554
2018-02-25,24.642291666666665
2018-02-26,25.491041666666668
2018-02-27,24.990416666666665
2018-02-28,24.632847222222225
2018-03-01,24.59347222222222
2018-03-02,25.16173611111111
2018-03-03,23.491180555555555
2018-03-04,23.34645833333333
2018-03-05,24.250138888888888
2018-03-06,24.82173611111111
2018-03-07,24.095555555555556
2018-03-08,23.56875
2018-03-09,25.110833333333332
2018-03-10,25.609236111111112
2018-03-11,26.816597222222224
2018-03-12,27.574583333333333
2018-03-13,25.909652777777776
2018-03-14,25.89138888888889
2018-03-15,25.311041666666668
2018-03-16,25.945416666666667
2018-03-17,26.358194444444443
2018-03-18,25.96472222222222
2018-03-19,26.763125
2018-03-20,27.350277777777777
2018-03-21,26.019861111111112
2018-03-22,25.94076388888889
2018-03-23,26.199583333333333
2018-03-24,25.16027777777778
2018-03-25,25.94076388888889
2018-03-26,26.199583333333333
2018-03-27,26.107777777777777
2018-03-28,25.590069444444442
2018-03-29,25.28097222222222
2018-03-30,25.336805555555557
2018-03-31,24.519722222222224
2018-04-01,25.304444444444446
2018-04-02,26.170277777777777
2018-04-03,26.285694444444445
2018-04-04,27.268125
